武将ID,名字,武力,智力,统率,兵种,武器,智力道具,坐骑
0,曹丕,52,77,50,骑兵,,,
0,董卓,86,36,50,骑兵,七星刀（武力+10）,,
0,韩玄,39,44,50,骑兵,,,
0,李傕,76,21,50,水兵,,,
1,曹操,84,90,50,骑兵,,,
1,刘禅,37,5,50,骑兵,,,
1,刘度,53,52,50,水兵,,,
2,刘备,85,76,50,骑兵,双股剑（武力+4）,,
2,孙权,74,73,50,骑兵,,,快航（移动+1）
2,袁绍,73,70,50,弓兵,,,
2,赵范,41,41,50,水兵,,,
3,金旋,51,63,50,步兵,,,
3,孟获,87,66,50,骑兵,,,
3,袁绍,73,70,50,弓兵,,,
3,袁术,78,84,50,步兵,,,
4,曹操,84,90,50,骑兵,倚天剑（武力+10）,,绝影（移动+2）
4,公孙康,77,36,50,步兵,,,
4,孙坚,95,81,50,骑兵,古淀刀（武力+5）,孙子兵法（智力+10）,
4,袁术,78,84,50,步兵,,,
5,刘备,85,76,50,骑兵,双股剑（武力+4）,,的卢（移动+2）
5,马腾,89,46,50,骑兵,,,
5,孙策,96,58,50,骑兵,,,
5,徐庶,1,1,50,弓兵,,,
6,孙权,74,73,50,骑兵,,,快航（移动+1）
6,陶谦,46,65,50,步兵,,,
6,杨龄,61,40,50,骑兵,,,
6,张邈,47,62,50,骑兵,,,
7,孔融,57,82,50,弓兵,,,
7,马腾,89,46,50,骑兵,,,
7,夏侯尚,59,69,50,水兵,,,
7,张绣,83,45,50,弓兵,,,
8,刘岱,76,53,50,步兵,,,
8,吕布,110,53,50,极兵,方天画戟（武力+10）,,赤兔（移动+3）
8,夏侯德,71,64,50,弓兵,,,
8,张鲁,69,75,50,弓兵,,,
9,韩玄,39,44,50,骑兵,,,
9,刘璋,47,49,50,弓兵,,,
9,夏侯霸,45,63,50,步兵,,,
9,张杨,60,56,50,步兵,,,
10,曹彰,90,32,50,骑兵,,,
10,公孙度,71,31,50,步兵,,,
10,公孙康,77,36,50,步兵,,,
10,韩馥,30,25,50,步兵,,,
11,曹真,68,79,50,骑兵,,,
11,黄忠,93,57,50,弓兵,,,
11,马腾,89,46,50,骑兵,,,
11,王匡,47,47,50,步兵,,,
12,曹植,20,88,50,骑兵,,,
12,刘表,22,71,50,弓兵,,,
12,魏延,91,59,50,步兵,,,
12,张邈,47,62,50,骑兵,,,
13,刘备,85,76,50,骑兵,双股剑（武力+4）,,
