武将ID,名字,武力,智力,统率,兵种,武器,智力道具,坐骑
0,董卓,86,36,50,骑兵,七星刀（武力+10）,,
1,曹操（时期1）,84,90,50,骑兵,,,
1,曹操（时期2）,84,90,50,骑兵,倚天剑（武力+10）,,
1,刘禅,37,5,50,骑兵,,,
1,刘度,53,52,50,水兵,,,
2,袁绍,73,70,50,弓兵,,,
2,赵范,41,41,50,水兵,,,
3,金旋,51,63,50,步兵,,,
3,孟获,87,66,50,骑兵,,,
3,袁术,78,84,50,步兵,,,
4,曹操（时期3）,84,90,50,骑兵,倚天剑（武力+10）,,绝影（移动+2）
4,孙坚,95,81,50,骑兵,古淀刀（武力+5）,孙子兵法（智力+10）,
5,刘备（时期3）,85,76,50,骑兵,双股剑（武力+4）,,的卢（移动+2）
5,马腾,89,46,50,骑兵,,,
6,孙权（时期3/4）,74,73,50,骑兵,,,快航（移动+1）
6,陶谦,46,65,50,步兵,,,
7,孔融,57,82,50,弓兵,,,
8,刘岱,76,53,50,步兵,,,
9,韩玄,39,44,50,骑兵,,,
9,张杨,60,56,50,步兵,,,
10,曹彰,90,32,50,骑兵,,,
10,韩馥,30,25,50,步兵,,,
11,王匡,47,47,50,步兵,,,
12,张邈,47,62,50,骑兵,,,
13,刘备（时期1/2）,85,76,50,骑兵,双股剑（武力+4）,,
13,刘璋（时期2/3）,47,49,50,弓兵,,,
13,杨龄,61,40,50,骑兵,,,
14,刘表,22,71,50,弓兵,,,
15,刘贤,50,37,50,骑兵,,,
15,刘焉,52,72,50,弓兵,,,
16,公孙瓒,89,75,50,骑兵,望月枪（武力+3）,,
16,刑道荣,71,51,50,弓兵,,,
17,陈应,80,22,50,水兵,,,
17,公孙度,71,31,50,步兵,,,
18,鲍隆,68,35,50,步兵,,,
18,张鲁,69,75,50,弓兵,,,
19,巩志,59,77,50,步兵,,,
19,李儒,54,92,50,弓兵,,,
20,吕布,110,53,50,极兵,方天画戟（武力+10）,,赤兔（移动+3）
20,徐庶（时期3/4）,1,1,50,弓兵,,,
21,华雄,92,23,50,骑兵,,,
22,张辽,93,82,50,弓兵,,,
23,李傕,76,21,50,水兵,,,
23,夏侯尚,59,69,50,水兵,,,
24,郭汜,71,28,50,水兵,,,
24,夏侯德,71,64,50,弓兵,,,
25,李肃,75,65,50,步兵,,,
25,夏侯霸,45,63,50,步兵,,,
25,夏侯恩,72,61,50,步兵,青虹剑（武力+8）,,
26,侯成,73,35,50,弓兵,,,
27,高顺,70,55,50,骑兵,,,
28,徐荣,84,54,50,骑兵,,,
28,杨修（时期3/4）,38,82,50,弓兵,,,
29,牛辅,52,22,50,步兵,,,
30,曹洪（时期3/4）,80,63,50,弓兵,,,白鸽（移动+1）
30,王允,16,85,50,弓兵,,,
31,荀攸,41,93,50,弓兵,,,
32,牛金,80,22,50,步兵,,,
32,夏侯惇,92,60,50,骑兵,,,
33,夏侯渊,93,48,50,骑兵,,,
34,曹丕,52,77,50,骑兵,,,
34,李典,74,83,50,步兵,,,
35,曹真,68,79,50,骑兵,,,
35,乐进,82,42,50,步兵,,,
36,曹洪（时期1/2）,80,63,50,弓兵,,,
36,曹植,20,88,50,骑兵,,,
37,曹仁,73,74,50,水兵,,,
38,颜良,94,55,50,骑兵,,,
39,文丑,95,48,50,骑兵,,,
40,淳于琼,82,40,50,弓兵,,,
