道具ID,名字,武力加成,智力加成,移动加成,兵种变化
0,方天画戟,10,0,0,0
1,七星刀,10,0,0,0
2,青龙刀,8,0,0,0
3,丈八矛,8,0,0,0
4,双股剑,4,0,0,0
5,三尖刀,3,0,0,0
6,双铁戟,2,0,0,0
7,倚天剑,10,0,0,0
8,青虹剑,8,0,0,0
9,望月枪,3,0,0,0
10,古淀刀,5,0,0,0
11,六韬,0,8,0,0
12,司马法,0,2,0,0
13,孙子兵法,0,10,0,0
14,范蠡兵法,0,4,0,0
15,墨子,0,3,0,0
16,吴子兵法,0,2,0,0
17,鬼谷子,0,5,0,0
18,孙膑兵法,0,3,0,0
19,尉缭子,0,1,0,0
20,商君书,0,2,0,0
21,三略,0,6,0,0
22,赤兔,0,0,3,0
23,的卢,0,0,2,0
24,绝影,0,0,2,0
25,爪黄飞电,0,0,1,0
26,王追,0,0,1,0
27,惊帆,0,0,1,0
28,白鸽,0,0,1,0
29,快航,0,0,1,0
30,铁骑兵符,0,0,0,3
31,太玄兵符,0,0,0,2
32,水战兵符,0,0,0,1
